review_body,is_positive_sentiment
Great Movie for the kids - this one stands the test of time!,1
profoundly irritating!,0
"Great show, my 11 year old son loves it",1
-cheesy<br />-feels like an mtv adaptation of a zombie show<br />-angsty teen drama<br />-i don't care about any of the characters<br />-there's no tension without caring for the characters. Additionally we all know what happens with the zombies already so you're just waiting to get past stuff that we've been introduced to already in the original show.<br />-these teens are in their 30's... i'm sure there are believable child actors in the LA area that could have been hired.,0
"This was a disappointing movie.  The actor playing the maid was attractive and sympathetic but the crucial moment in her relationship with the young boy was very unconvincing, whether it was the fault of the direction or the script, I am not sure.  The young lead actor was just bad.  Again, it may have been the fault of the script but he was very unsympathetic.  It was very hard to see what the maid could possibly see in such a obnoxious teen-ager.",0
Ehh. Plus it has shakey cam. I hate shakey cam.,0
"Enjoyed it more than season 1. Enjoyed how Washington, Andre, Shippington, and Arnold have been brought in.",1
"I watched this movie but forgot most of it, so it must not have made a big impression.  But I give it 4 stars.  I remember the acting being good and the theme interesting, but it's not up there with some of the similar movies I've seen.  I think it's good, light entertainment.",1
sad sad sad....bad bad bad,0
"Characters drew us in but became more and more depressing and dark.  There may have been silver lining but someone let it mold in a dumpster.  Wish we'd have quit after Pilot, but there seemed to be promise.  The promise turned out to be accurate to the corrupt political environment of the story.  We use to like Rhode Island.",0
Good,1
it was horrible.. i don't mind crude but this was just ridiculous and stupid.,0
I thought it was a very cute movie and I watched it 3 times.,1
Hard to follow.,0
Really bad writing! So frustrating because the actors are amazing talents and the story is even such a great idea! But the writing was terrible,0
A waste of time.  Couldn't stand to watch the whole thing,0
Ok movie,1
"Ann Burden (Margot Robbie) and her dog have managed to survive the nuclear holocaust due to the topography of her land and using common sense in dealing with contamination. She meets up with John Loomis (Chiwetel Ejiofor) who has a Geiger counter and a type A protective suit on steroids. He suggests making a generator using hydro-electric power from the water falls. However, in order to do this he would have to take apart the church her father/preacher build. If you happen to look at the DVD cover or movie poster then you know Chris Pine also shows up and the description say &#34;emotionally charged love triangle&#34; which is a not exactly a plot spoiler, but he does come late into the film. If there was some way to watch the film having never seen the poster, or knowing he shows up, that would be the way to do it. As for me, I kept waiting for him to show up which made the film go slow with anticipation. So if you are planning a showing, hide the DVD cover.<br /><br />The title comes from a kids book Ann has on the Bible. John opens the book and sees &#34;A is for Adam.&#34; One would conclude what &#34;Z&#34; would be, as there is a hint and some talk that coating the world with radioactive contamination was part of the plan or at least Ann's survival. The book of Zachariah, talks about the rebuilding of Solomon's Temple as a juxtaposition to the discussing to tearing down the church. The survey of Chris Pine was correctly done as he assumed the industry standard position of Jesus on the cross.<br /><br />The acting was good and then there was Chris Pine. The film moved slow. For people who want to watch an end of the world film with some minor religious discussion, the notion God will save a few people for his plan, and no zombies then this is it. Please note, there is a latency period of &#34;puking&#34; and general sickness when one is exposed to radioactivity. The latency period depends on the amount of exposure from a week to immediately. If you are &#34;puking&#34; right away after exposure, you will die shorty. No medicine can save you.<br /><br />Guide: No f-bombs that I recall. No real nudity. Implied sex.ing&#34; right away after exposure, you will die shorty. No medicine can save you.<br /><br />Guide: No f-bombs that I recall. No real nudity. Implied sex.",0
Boring.  Much of the libretto has been eliminated.,0
Better than advertised,1
Visually gorgeous and a total flabby bore....,0
"Come on, this could have been done so much better. Colin Firth seemed like he was the only one trying to do something with his part. The others were sleep walking through this poorly written slug of a movie.",0
"EARLY PLOT SPOILER<br /><br />The best way to watch this film is cold, having read no reviews including this one. Damian (Ben Kingsley) is a rich guy who has an opportunity to live on in another body under a new identity. It cost a bit, but beats death. He takes over the body of Ryan Reynolds and then BAM! we soon discover 30 minutes into the film we are watching a modern update of &#34;Hauser's Memory.&#34; Once we figure out what the pills are for and are 36 minutes into the feature, we know how it ends, just how do they get us there.<br /><br />Ryan did a decent job of imitating the mannerisms of Ben Kingsley, yet his acting was lack luster. There have been a number of films on this topic, with this one being superior to say &#34;Hauser's Memory&#34; but then again, what isn't better than a 1970's made for TV film. Makes for a good rental.<br /><br />Guide: 1 F-bomb. Brief dark sex/nudity?",0
"Plotless. Annoying camera shaking and jumping and stupid flickering lights to ineffectively compensate for lack of budget, lack of plot, and lack of substance.",0
Fantastic twist on this film! It really had me going! Such a Dakota fan as well! She did such a great job! Great film!!,1
Brilliant.,1
"Great movies were made during the time of this production—without gratuitous sex (or its overtures) and without undue violence. Bogart and Tierney were superb in their roles, and quite touching. I was sad to learn that it was during this production that Miss Tierney (how wonderfully beautiful she was) —it was during this time that she began manifesting deep depression which plagued her most of her life. I thought, how utterly sad; but how wonderful (as I read) that Mr. Bogart was such an understanding and benevolent gentleman, who, when needed, often fed Miss Tierney her lines, as she had great difficulty in some scenes. The acting was somewhat understated, which, to me, made the roles all the more to be cherished an lauded in this day of violence, untoward behavior, and everything seemingly disturbed and evil.. I will watch this movie again, and that is how I know that I appreciate a film. Look at the beautiful Tierney and . . . well, I don't know what else to say, except just to see her made the film worthwhile for me. I highly recommend it for those who long for normalcy in film roles and for acting that says what it should say without &#34;grabbing&#34; one by the throat!",1
LOVE IT,1
"Great movie if you happen to be a theoretical physicist. I had to read the synopsis on IMDB to finally understand what this movie was all about. Glad it was only a buck. The price was alright, alright, alright. The plot, not so much.",0
Not a very good movie. Poorly written.,0
Interesting perspective of Katrina.,0
"A good start, but a pat ending. Fun, though.",0
"I really liked the book.  The movie was just &#34;meh&#34;.  I thought the actors did a nice job.  However,  I felt that the screenplay just sucked all the life out of the story.<br /><br />I get that screenplay writers need to severely edit a novel.  I get that things are going to be out of order and combined.  Usually it's not a big deal.  In this movie, I just felt like they missed the mark.  They missed so many critical moments and focused on others way too much.<br /><br />I was really looking forward to seeing the movie after reading the book.  It was such a disappointment.",0
"I really wanted to like this movie. It has a good story line, a lot of potential BUT there is absolutely NOOOOO Chemistry between the the lesbian couple. The casting is awful. They don't seem connected, they barely seem like close friends let alone a couple in love. There is no true warmth between them and that ruined the entire movie for me and my wife.",0
"I was leary of this spinoff but after the first episode I'm in! Too early to tell for sure but the acting, score & production all seem better to me and our family has watched every episode of TWD twice! The young addict seems to be a rising star as he portrayed hus role to a T. There are some couch critics out there blasting this show but if your into TWD you will like the start to this new series!",1
"I have watched this several years ago, enjoyed it again.",1
I absolutely hate this movie I do not find it funny at all. The quality of the movie is great. No scratches nor does it skips. Definitely not a boot legged movie. Good product besides the acting :),1
My 5 and 8 year old boys have been incredibly inspired by this show! They love it!!! It has a lot of valuable lessons and somehow figured out how to make kids curious and wanting to learn more! It's a treat for them to watch and me to observe them!,1
"Having never heard of Norman Mailer prior to this movie, I went in with an open mind.<br /><br />I wish I had still never heard of him.",0
"Depressing, but the acting is great.",0
very interesting movie..... I enjoyed it.,1
A very stupid movie!,0
Amazing course for anyone interested in photography and taking better pictures. Joel Sartore from National Geographic talks in terms that you can understand and makes you realize a camera is just a tool (so you don't need the most expensive one) and what you really need is your brain and eyes.,1
COOL GROOVY AND FAROUT,1
Worst show ever. I want my money back.,0
"Fantastic heart-warming film with Jemaine Clement of &#34;What We Do in the Shadows&#34;. I highly recommend this touching movie about falling in love, falling out of love and finding someone better on the way.",1
"Startling yet poignant.  What an amazing story and how sad, too.",1
"I started watching it at an earilier date, & it did not get my interest brewing, so I stopped it.  I kept it in mind though, as I thought it would be one worth watching. So just recently, I tried it again. After waiting patiently through the first part of the Movie, it finally got off & running with Action. It had a good climatic ending. It was worth watching once.",1
very predictable,0
"The season was great, again wonderful acting performances from everyone. The ending was off a bit- I mean it kind of fit, but it was also like too many characters took the same way out, which shows a weak performance from the writers. They were probably pissed at HBO for cancelling the show and took the easy way out for finishing the ending.",0
"I watched the whole thing just to see if it got better.  It didn't.  Premise entertaining, the rest not so much.  The acting, the drunk Russian sister, skip it.",0
Love how easy it was to order and watch the movie from my smart tv!!,1
fun movie to watch at home.- don't know about paying to see it at the movies?!?!,0
Love it!,1
Mediocre acting on everyone's part except Heughan.,0
Love it. Looking forward to many more seasons.,1
OK movie,1
"Well made, well acted, well paced film about two estranged brothers, once a highly competitive doubles team, who reconcile with difficulty after years of separation in order to pursue success in the US Open. Jimmy Sisto, who developed the screenplay, is the older, more passionate (and disreputable) &#34;Alpha&#34; brother - David Walton his tightly wrapped sibling, a substitute teacher with a student minion, Joshua Rush. Initially nursing old grudges, they fight their way through qualifying tournaments (and a brief scuffle) as their relationship evolves from thinly veiled hostility to fraternal affection. The humor is mostly subtle, although Sisco laces his character's lines with plenty of F bombs. Amy Smart and J.K. Simmons are major supporting characters, but off court interaction between them and the two brothers is slow paced when contrasted with the realistic looking on-court action scenes.  A serious tennis fan or player (which I am not) would probably enjoy it much more than I did.",0
good actors but really bad stupid movie.  highly disappointed so much so that we could not finish watching the movie.,0
"Brilliant, riveting, and terrifying.",1
Not bad... more talking then seeing the many special vans.,0
Very good,1
It's an older movie but a really good movie,1
The movie treats the woman as an intelligent being who knows her own mind.  What a concept!,1
Seriously?....this was a DUD for us...,0
"Interesting storoes, improbable plotlines, very quick and easy deductions. Entertaining while nowhere near realistic.",0
Very good review of what happened at the Alamo.  I would have liked to see a bit more in depth characters but I looked them all up afterward to learn more about them.,1
Great movie!,1
"NO MARG HELGENBERGER!  This series really started going downhill at the end of season 2.  Season 3 to me is a waste, I no longer watch it since the addition of Marg Helgenberger, which is a total disappointment.  Both the Christine and Ava characters have totally ruined it for me, they need to go.  I wish they had stuck with the story line of the book.",0
I loved it it was an anwsome movie,1
"Predictable story told many times over, nothing to see here folks, don't waste your money.",0
"I am a huge Jane Austen fan and also enjoy P.D. James and read Death Comes to Pemberley. I so looked forward to the Masterpiece Theater version of the book - recorded all three hours and then sat down for an enjoyable marathon. About 15 minutes (make that 10 minutes) into the first episode, I stopped watching and have since deleted the episodes. I will not be purchasing the DVD's. The casting of Elizabeth was just wrong. Where was our &#34;loveliest, dearest Elizabeth&#34; with fine eyes, a lively wit and light step. I admit that this is not an intelligent critique of the series, of course, as I did not watch it. If you can get past the casting of Elizabeth, as I could not, you may enjoy these DVD's. I will contine to watch my Jennifer Ehle, Keira Knightly and Elizabeth Garve versions of Pride & Prejudice.",0
"This is one of the most intriguing mysteries I've seen.  The character Saga from Sweden is unique to police drama; Martin, from Denmark, is a perfect choice of co-worker.  The differences between policing in Sweden and Norway is well drawn; the victim, cut into two parts and placed on the border line,  is part Swedish and part Danish. How to solve a case that crosses borders and involves both society's problems?  The Bridge, a collaborative production effort, is well worth watching.",1
Veary informative  and a interview with Dr. Ramond Moody and inter views with patients that have had NDES,1
B..ish movie.  Bad acting.  Story line was interesting.,0
"Nice movie about two gay brothers who have taken different paths in life and how they have come back together after years apart. Johnny Hazzard plays one brother who is outspoken, a major flirt, and a party type guy who does what he wants when he wants and to whomever. He is easy on the eyes and makes no bones about his sexuality. Mark Strano plays the other brother he is a homebody who has stayed in the family home and continued to run the family business. He is not the social butterfly, more protected and straight acting.  The two brothers find themselves back together as the fancy free brother is broke and homeless and needs somewhere to land and the more put together brother needs to open up himself more and be true to who he is.<br /><br />This is a wonderfully made movie about family and friendship, love and longing and the ghosts from the past. An an actor Johnny Hazzard has improved so much from his past roles in cheesy porn like soap operas such as The Lair, and knew to me at least Mark Strano could not have played a better character that many people can identify with.<br />Highly recommend this movie.",1
"Kudos to the writer of an engaging and well-crafted story of self-sacrifical love, bitterness, and forgiveness. Now, if the acting could be as good as the script. Some wonderful moments were lost by the wooden performance of Redford (he was out of he element in a dramatic role) and the lightweight Jennifer Lopez. Morgan Freeman was, well, Morgan Freeman and his performance in a role that seemed written for his large cinematic persona was predictable. But the weight he brings to any role made the others pale by comparison. Decca Gardner (as Griff) has better days ahead as she grows into her acting ability.<br /><br />Josh Lucas did as much as he could with a limited character of Sherif Curtis, and Damian Lewis as the abusive boyfriend was appropriately malevolent and not too over the top, which is easy to do in that role. Carmen Manheim was, again, over her head in an otherwise fairly simply role.<br /><br />I haven't read the book but the screenplay teased out the storyline in a way that kept me interested (despite the acting) and surprised at points. There were a few forced story threads (making a to-do out of forgiving the bear that mauled and crippled you)...but don't know if it was better told in the book than the movie.<br /><br />In all, I wouldn't watch it again but there was enough to enjoy in the first viewing.",0
"visual effects were great. the topic of artificial intelligence becoming self aware and a genius developer 'evolving' the models is quite interesting. There are a few kinks in the story line but thats a problem with most films, isn't it. I did enjoy it and as SCIFI fan can recommend it wholeheartedly.",1
"I was hooked.  Couldn't put it down just HAD to watch &#34;just one more&#34;!  Felt they brought me into the other side of these characters.  They weren't just thugs, they had reasons behind their behavior.  Gave me a different perspective that left me wanting more.  Will be waiting for the next season to go Prime.",1
Painfully stupid,0
"The trailer was NOT representative of the tone of the movie.  This is NOT a romantic comedy by any means.  The film was tying to hard to be an art house drama and it just turned into a mess.  I really wanted to like this movie.  I normally like Nicole Conn and the two lead actresses were fabulous, however the actual movie just made me mad.  I won't give away any spoilers if you want to still see this movie in which you should no matter what another feels about it.  You have to make that decision yourself, but from perspective this movie was anything but a Perfect Ending.  More like a perfect mess.",0
"It wasn't quite up there on the same level with Pride & Prejudice, but this was a really good film.  The characters were really well portrayed by wonderful actor.",1
"I an outraged, I just finished the movie seventh son and an extremely disappointed. Do these people hate the authors so much that they have to butcher the story and torture the people who read these books because their so arrogant in their own powers to just say hey let's do this instead<br />and mortally screw someone out of an amazing and possible classic I feel like vomiting, no such acrocity has been comited scene Dragon ball evolution was injected into this unfortunate universe not even Satan is evil enough to play this in he'll where it shall not be welcome",0
"...it's not easy to follow. I appreciate the bleak characters-scape, dark tones that color the urban frames, collision of story lines, over the top shoot-outs, emotion-less world views and poignant moments of heart-breaking closeness, but it's a more of an emotional ramble than anything else. Gotta be in the mood, I guess.",0
"Very well done. Simply done with humor and logic that a five year old can easily understand. It asks the viewer to help find objects, tells a good story, has riddles that children can understand.<br /><br />I recommend this show.",1
The  pilot episode was so boring. Four episodes later It was still dragging and I caught myself falling asleep several times while watching all 4 episodes. You would think they will make it really exciting and filled with action to get the watchers excited but it was really dull. I enjoyed iZombie 100 times more than this new show. I am done watching it.,0
Good show with strong family values in play.,1
Very Good Movie!,1
Great acting. Beautiful scenery.,1
Very interesting especially because a particle collider is being used in Cern Switzerland.  The pilot left off with a cliffhanger which was very intriguing but since the show was never picked up we'll never know what happened.,1
"Over all it was an enjoyable movie, just understand in advance it really isn't all that good.",0
Absolutely perfect! Couldn't stop watching it! The  cast was unbelievably convincing.... I will definitely watch the whole season again. When is 2 coming out?!!,1
"It's not a bad program and well done, but the genre is so over worked these days. We sure need someone who can change the course with new genres altogether with little to do with cops, detectives, emergency rooms and doctors. I have the feeling that because reality programs and cop/legal/detective/doctor/ER shows have an adequate audience that programmers believe that's all there is. WRONG!. So, if you (ho hum) would like to watch another cop show (I don't care what minute twist is involved), then I would recommend it. It's not that bad.  -Daniel Lance Wright, author of &#34;One Day in Lubbock&#34;, &#34;Phobia&#34;, &#34;Paradise Flawed&#34; &#34;Defining Family&#34;, &#34;The Last Radiant Heart&#34;, &#34;Annie's World: Jake's Legacy&#34;, &#34;Six Years' Worth&#34;",0
"Not the best season of Suits so far, but still a great show with a ton of tension.  The one thing I was sure would happen didn't, but it was still great story.",1
"Very slow moving. Wasn't pleased with the ending although I guess it couldn't have ended any differently. I would not recommend it as a purchase item. When it reaches Netflix and it doesn't cost any more than the monthly rental fee, I would say give it a shot.",0
Boring. Pointless.,0
"If you like pirate flicks this can entertain you for a while, it's not great, Geena made a good pirate.",0
"The human struggle is a universal concept and, individually, each of the characters show what it is like to be gay, lesbian and even a miner during the times of margaret thatcher in the 80's.  Very few movies make me smile at the end...but this one did and i'll have to say that when you have a compelling story and a likable cast, the net result is a very brilliant movie. Bravo!!",1
My students love to watch this during lunchtime...and so do I.,1
I love it.I never cried watching a movie in years but I did with Winter's Tale....good story line but could of done more with the details,1
"I just finished watching Season 3, or as it is now known, the final season of Hannibal, and I have to say it's a little bit heartbreaking. I've been a huge fan of this show since its first few episodes, and though it was hanging on by a thread in the ratings after Seasons 1 and 2, I was hopeful that its critical acclaim and rabid fanbase would be enough to keep it around until everybody else caught on. Unfortunately, that won't be the case and we'll never get to find out how amazing things could have been had the show been allowed to adapt The Silence of the Lambs. This season was divided into two halves, the first of which finished off the adaptation of the book Hannibal, and the second that focused solely on the novel Red Dragon. Accordingly, the first half of the season was pure gothic horror, bizarre, surreal, and disturbing. While several character outcomes were distorted or rearranged, it was more faithful to events in the book than the first two seasons while expertly substituting both Will Graham and Alana Bloom for Clarice Starling's parts. Then, the show became truly greater than it's ever been with the addition of Richard Armitage (The Hobbit's Thorin Oakenshield) as Francis Dolarhyde. The entire Red Dragon arc has been by far the closest the show has followed its source material, but the first two seasons have served to breathe new life into a story that has already been adapted to film twice before. The backstory and relationships between all of the principle characters give this story so much more vitality than it's ever had, it crushes me even more that they won't be able to do Silence of the Lambs. Sadly, the show never had the rights to that novel, but had hopes that they'd be attainable somewhere along the line. Since it never happened, they used Graham and Bloom in place of Starling in the first half of the season, then Bloom again in the final episode. While only a brief nod to &#34;Lambs,&#34; Bloom comes to Hannibal with an offer from the FBI, one that facilitates his escape from prison. Although the reason for the offer and its outcome are far different from &#34;Lambs,&#34; it was an obvious allusion to Thomas Harris's most famous story. Instead, knowing that the show would not be resurrected by another platform, the last episode offers finality to both main characters, and closes the door on any future attempt to revive the series. Make no mistake, it was a beautifully tragic way to finish off the connection between Will and Hannibal, but it's bitterly disappointing to see it all come to an end. Thanks are in order to Bryan Fuller, the writers, and the enthralling actors that made this show such a masterpiece. The only consolation is knowing that Will and Hannibal will not only be together forever, but will both provide one last meal before they depart. And in that regard, they will always have a leg up on poor, shattered Bedelia.<br /><br />*Edit- After the finale, Bryan Fuller stated in an interview that Martha Stewart of all people is trying to get financing to back a Hannibal feature film, likely as a TV mini-series. He seems very enthusiastic to finish off his vision of Hannibal and Will, suggesting that they survive their fall, ala Sherlock Holmes. While I'm hopeful, I just don't see it happening, but he mentioned Bedelia hiding her fork at the end of the finale, a possible clue that Hannibal is still alive. Only time will tell.one that facilitates his escape from prison. Although the reason for the offer and its outcome are far different from &#34;Lambs,&#34; it was an obvious allusion to Thomas Harris's most famous story. Instead, knowing that the show would not be resurrected by another platform, the last episode offers finality to both main characters, and closes the door on any future attempt to revive the series. Make no mistake, it was a beautifully tragic way to finish off the connection between Will and Hannibal, but it's bitterly disappointing to see it all come to an end. Thanks are in order to Bryan Fuller, the writers, and the enthralling actors that made this show such a masterpiece. The only consolation is knowing that Will and Hannibal will not only be together forever, but will both provide one last meal before they depart. And in that regard, they will always have a leg up on poor, shattered Bedelia.  *Edit- After the finale, Bryan Fuller stated in an interview that Martha Stewart of all people is trying to get financing to back a Hannibal feature film, likely as a TV mini-series. He seems very enthusiastic to finish off his vision of Hannibal and Will, suggesting that they survive their fall, ala Sherlock Holmes. While I'm hopeful, I just don't see it happening, but he mentioned Bedelia hiding her fork at the end of the finale, a possible clue that Hannibal is still alive. Only time will tell.",1
Good and original premise.,1
"Funny, tongue in cheek adventure.",0
you have to watch this .... using birds to retrieve like we do with dogs!,1
Loved it but I would watch Alex Guarnaschelli peel potatoes. I have seen her on Chopped and she is so mentoring there not just critical. She is tough cookie in the kitchen but when people have problems you can see her get emotional. I think she is a tiger in the kitchen admire her and think she is just a great person and love to listen to her talk about her daughter.  Symon is a great mentor too the other to chefs not as familiar with but the Tyler guy seemed great with his cooks.<br />Thought contestants were really talented but thought the wrong person won but I always think that.,1
So far this is the worst season. Two stars because not all of it was bad there were a handful of good episodes. Looks like writers are running out of material.,0
Great Grandchildren love it!,1
Bad acting - no plot. This is commming from a car lover - and a fast and the furious lover. This was my least favorite of all FF films...,0
"Take the tinfoil hat off and hear me out.<br />1. One undeniable truth about humans is that we cannot keep secrets when more than one of us is sharing it.<br />One person can keep a secret.  Two people ? Probably not. Three people?  Unlikely. Hundreds of people?  You've got to be kidding me.<br />2.  Wake up - conspiracy theories make money!  Conspiracy theories are a cottage industry, worth millions of dollars each year.<br />3.  Kookery set aside, it is a well made movie.",0
"So sweet! Greta Gerwig- super adorable. It's not realistic at all, just try to enjoy as it goes.",1
"Long time ninja turtles fan. Visually, the movie was great. I seen it like 3 times now. But honestly, the story pisses me off every time. Yes the story was changed a bit and that sucked, but they actually chose the cornyer route instead. I can say a lot more, but I'm to lazy to. Shredder was stupid and freakishly too much, the foot are suppose to be silent and ninja, not some mercenary type fools. This movie was setup like a sequel instead of a first.",0
Raw this documentary shows the rawest of addiction,1
Watched it with my 6yr old grandson was so touching we both loved it!,1
Tom Hardy makes it worth it.,0
Movie reminded me of those awful horror films from the &#34;50's&#34;.  So predictable and so so lame.  Tried to continue watching it but just couldn't stand anymore and had to shut if off.,0
"A great story and a awful gamble. An all-star cast, great production and the futility of war !! One of the best war films ever made !!!",1
