index,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,pct_helpful_votes,is_helpful,is_positive_sentiment
16433,US,1676507,R3M3QGG22DRWHC,B006UYF6R2,262555636,The Riches Season 1,Digital_Video_Download,2,1,1,N,Y,Don't get sucked in.,The plot is ridiculously unbelievable and the show was canceled mid cliff-hanger. Don't get sucked in.,2015-08-30,1.0,True,0
4057,US,15380109,RTTZ6T95YS8KP,B00MILGKPI,600191340,Teenage Mutant Ninja Turtles,Digital_Video_Download,3,1,1,N,Y,Three Stars,Better movie than I expected it to be.,2015-08-31,1.0,True,0
17610,US,46732668,R3LM730GFGSGD6,B002KGIWA2,611014664,The Unborn (Unrated),Digital_Video_Download,2,1,1,N,Y,"Not all that bad,but I felt I'd wasted money on it.",This is the sort of movie that had potential. However the writer(s) just didn't put the work and vision into it.,2015-08-30,1.0,True,0
10467,US,1098062,R1N4SMEZ1N776Z,B00I8R5XFY,141842935,The Visitant,Digital_Video_Download,4,2,2,N,Y,Good spooky show…fairly formulaic but not so predictable as to ...,"Good spooky show…fairly formulaic but not so predictable as to be boring…you know what's coming, but instead of saying &#34;This is stupid&#34; and turning it off, you find yourself saying &#34;Don't do that, don't do that&#34;…that, and creepy puppets…ughhh",2015-08-31,1.0,True,1
19502,US,22320407,RF0RPDQ7G8D6J,B0112SYRUM,421385979,"Fear the Walking Dead, Season 1",Digital_Video_Download,5,1,2,N,Y,Can't wait for next week,I was immediately hooked!,2015-08-30,0.5,False,1
16291,US,23011681,R2ZX3MQYQOCXR8,B00VQRRJJ6,732888379,"Banana, Season 1",Digital_Video_Download,5,1,1,N,Y,"Wonderfully shot, directed and acting",Beautifully done piece.,2015-08-30,1.0,True,1
2304,US,871521,R3RN6HSZQCWMK7,B00CB6FHKE,73779239,Annedroids Season 1,Digital_Video_Download,5,1,1,N,Y,"I also enjoy it, which is nice because we can watch ...","My 8 year old LOVES this show. I also enjoy it, which is nice because we can watch together and I can be a part of the discussion around science, the value of having a good attitude, self confidence, learning to be ok with mistakes because they are part of discovery...and so much more. This show is entertaining while it shows values of friendship, perseverance and creativity.",2015-08-31,1.0,True,1
7143,US,37729833,R190X507GP3CCY,B005M4GJDQ,578006102,"Blue Bloods, Season 1",Digital_Video_Download,5,1,1,N,Y,Five Stars,Very entertaining.,2015-08-31,1.0,True,1
962,US,51847710,R136YH1UOOVNAA,B01489KZAI,818504598,Some Kind of Beautiful,Digital_Video_Download,4,1,1,N,Y,Four Stars,"If you like Pierce Brosnan, then you'll like this film.  Predictable but entertaining.",2015-08-31,1.0,True,1
4992,US,42991916,R2BA5S6SPYZBLL,B0136J9EJO,700286837,Portrait of a Lady,Digital_Video_Download,4,3,3,N,Y,The beautiful gardens and scenery,"Amazon's current description of this movie doesn't have anything at all to do with the actual movie.  Amazon's description refers to the transgender performer, Barbara Herr, and not to the classic tale from the Henry James novel.  :D :D :D<br /><br />Nicole Kidman with her young fresh face completely devoid of makeup.  The divine costumes of rich fabrics. The beautiful gardens and scenery.  Great story.  Great acting.  Great escape from daily reality.  Great rainy day home alone kind of movie to watch so you can immerse yourself in the story.<br /><br />John Malkovich is the perfect insidious bad guy - soft spoken, manipulative, & completely evil. So good at being evil you'll still hate him when the movie ends. :D",2015-08-31,1.0,True,1
