"reward","event_id","action","action_prob","model_id","observation","sample_prob"
"1","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.2622526818853962"
"1","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.6812979982114797"
"1","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.32065153945484304"
"1","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.4207112045353939"
"1","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.08755582821232888"
"0","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.06811692886542542"
"1","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.6316589100114146"
"0","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.6914740400346912"
"0","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.251218285819077"
"1","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.7161033177010312"
"1","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.503968955476721"
"0","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.5915699926249183"
"1","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.6504882957561101"
"1","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.5826721579955322"
"1","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.33591938103086405"
"0","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.04972403140988568"
"1","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.22377233217827897"
"0","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.7176360620693655"
"0","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.1429783988651151"
"1","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.7292149192626871"
"0","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.07340504794418268"
"1","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.14048144570454968"
"0","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.740973356924155"
"0","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.61046961230736"
"0","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.5164454244577752"
"1","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.6537618144014684"
"0","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.02259732165286288"
"0","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.29828035064473934"
"0","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.07475989824819584"
"0","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.40176533988621166"
"0","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.27588661950879745"
"0","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.2846431491119371"
"0","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.5422385783358286"
"0","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.46351444971090183"
"0","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.7233364247693829"
"0","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.31340538442136856"
"0","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.5152780665484777"
"1","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.6055272668319364"
"1","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.13793937193253536"
"1","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.08292095363309115"
"0","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.42215527522607443"
"0","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.6186830926733359"
"0","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.14054108233501783"
"1","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.1337967796118873"
"0","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.2619699301908126"
"0","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.4557676200811781"
"0","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.3474703239773579"
"1","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.6326532594698341"
"0","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.15149311502326546"
"0","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.4834870012772382"
"0","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.2348597240439585"
"1","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.16953033869253298"
"1","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.5432119902912924"
"1","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.3682073929666144"
"0","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.013789744929722625"
"0","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.2618232580601123"
"1","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.020331643059880222"
"0","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.39870691392644475"
"1","not-apply-to-warm-start","2","0.5","not-apply-to-warm-start","[]","0.2749594945750288"
"1","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.27837619977111205"
"1","not-apply-to-warm-start","1","0.5","not-apply-to-warm-start","[]","0.15058249533626022"
