ITEM_ID,GENRE,YEAR
1,Adventure|Animation|Children|Comedy|Fantasy,1995
2,Adventure|Children|Fantasy,1995
3,Comedy|Romance,1995
4,Comedy|Drama|Romance,1995
5,Comedy,1995
6,Action|Crime|Thriller,1995
7,Comedy|Romance,1995
8,Adventure|Children,1995
9,Action,1995
10,Action|Adventure|Thriller,1995
11,Comedy|Drama|Romance,1995
12,Comedy|Horror,1995
13,Adventure|Animation|Children,1995
14,Drama,1995
15,Action|Adventure|Romance,1995
16,Crime|Drama,1995
17,Drama|Romance,1995
18,Comedy,1995
19,Comedy,1995
20,Action|Comedy|Crime|Drama|Thriller,1995
21,Comedy|Crime|Thriller,1995
22,Crime|Drama|Horror|Mystery|Thriller,1995
23,Action|Crime|Thriller,1995
24,Drama|Sci-Fi,1995
25,Drama|Romance,1995
26,Drama,1995
27,Children|Drama,1995
28,Drama|Romance,1995
29,Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995
30,Crime|Drama,1995
31,Drama,1995
32,Mystery|Sci-Fi|Thriller,1995
34,Children|Drama,1995
36,Crime|Drama,1995
38,Children|Comedy,1995
39,Comedy|Romance,1995
40,Drama,1995
41,Drama|War,1995
42,Action|Crime|Drama,1995
43,Drama,1995
44,Action|Adventure|Fantasy,1995
45,Comedy|Drama|Thriller,1995
46,Drama|Romance,1995
47,Mystery|Thriller,1995
48,Animation|Children|Drama|Musical|Romance,1995
49,Drama|Romance,1995
50,Crime|Mystery|Thriller,1995
52,Comedy|Drama|Romance,1995
53,Adventure|Drama,1994
54,Children|Comedy,1995
55,Drama,1995
57,Drama,1995
58,Comedy|Drama|Romance,1994
60,Adventure|Children|Fantasy,1995
61,Drama|Thriller,1996
62,Drama,1995
63,Comedy|Crime,1996
64,Comedy|Romance,1996
65,Comedy,1996
66,Action|Sci-Fi|Thriller,1996
68,Comedy|Romance,1995
69,Comedy,1995
70,Action|Comedy|Horror|Thriller,1996
71,Action,1995
72,Comedy|Drama,1995
73,Drama|War,1995
74,Drama|Romance,1996
75,Comedy|Drama,1996
76,Action|Sci-Fi|Thriller,1995
77,Documentary,1995
78,Action|Crime|Drama|Thriller,1995
79,Drama|Thriller,1996
80,Children|Drama,1995
81,Crime|Drama|Romance,1995
82,Comedy|Drama,1995
83,Drama|Romance,1995
85,Drama|Romance,1995
86,Action|Adventure|Drama,1996
87,Children|Comedy,1996
88,Comedy,1996
89,Action|Thriller,1995
92,Drama|Horror|Thriller,1996
93,Comedy|Horror|Romance,1995
94,Comedy|Drama|Romance,1996
95,Action|Adventure|Thriller,1996
96,Comedy|Drama,1995
97,Crime|Drama,1995
99,Documentary,1995
100,Drama|Thriller,1996
101,Adventure|Comedy|Crime|Romance,1996
102,Comedy,1996
103,Mystery|Sci-Fi|Thriller,1996
104,Comedy,1996
105,Drama|Romance,1995
106,Comedy|Drama,1994
107,Adventure|Children|Comedy|Musical,1996
108,Documentary,1996
110,Action|Drama|War,1995
111,Crime|Drama|Thriller,1976
112,Action|Adventure|Comedy|Crime,1995
113,Drama|Mystery,1996
116,Documentary,1995
117,Crime|Drama,1995
118,Comedy|Romance,1996
119,Comedy,1995
121,Drama,1992
122,Comedy|Romance,1992
123,Drama|Mystery|Romance,1994
125,Comedy,1996
126,Adventure|Children|Fantasy,1994
128,Documentary,1994
129,Comedy|Romance,1996
132,Thriller,1995
135,Comedy,1996
137,Documentary,1995
140,Drama|Romance,1996
141,Comedy,1996
144,Comedy,1995
145,Action|Comedy|Crime|Drama|Thriller,1995
146,Adventure|Children,1995
147,Drama,1995
148,Drama,1995
149,Crime|Drama|Thriller,1994
150,Adventure|Drama|IMAX,1995
151,Action|Drama|Romance|War,1995
152,Drama|Horror,1995
153,Action|Adventure|Comedy|Crime,1995
154,Drama,1967
155,Adventure|Drama|War,1995
156,Comedy|Drama,1995
157,Comedy|War,1995
158,Adventure|Children,1995
159,Crime|Drama|Mystery,1995
160,Action|Adventure|Mystery|Sci-Fi,1995
161,Drama|Thriller|War,1995
162,Documentary,1994
163,Action|Romance|Western,1995
164,Crime|Film-Noir|Mystery|Thriller,1995
165,Action|Crime|Thriller,1995
166,Comedy|Crime|Drama,1995
168,Action|Drama|Romance,1995
169,Adventure|Children|Drama,1995
170,Action|Adventure|Crime|Thriller,1995
171,Comedy|Drama,1995
172,Action|Sci-Fi|Thriller,1995
173,Action|Crime|Sci-Fi,1995
174,Comedy,1995
175,Drama,1995
176,Comedy,1995
177,Horror,1995
178,Comedy|Drama,1993
179,Drama|Romance,1995
180,Comedy|Romance,1995
181,Action|Children,1995
183,Comedy|Horror|Thriller,1994
184,Drama,1994
185,Action|Crime|Thriller,1995
186,Comedy|Romance,1995
187,Comedy,1995
188,Fantasy|Horror|Mystery,1995
189,Comedy|Fantasy,1995
190,Thriller,1995
191,Drama|Romance,1995
193,Drama,1995
194,Comedy|Drama,1995
195,Comedy|Drama|Romance,1995
196,Horror|Sci-Fi,1995
198,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995
199,Drama|Musical|Romance,1964
201,Drama|Fantasy,1995
202,Drama|Romance,1995
203,Comedy,1995
204,Action,1995
205,Comedy|Drama,1995
206,Documentary,1995
207,Drama|Romance,1995
208,Action|Adventure|Sci-Fi,1995
209,Drama,1995
210,Western,1995
211,Drama,1994
212,Adventure|Comedy|Crime|Mystery,1995
213,Drama,1994
214,Drama|War,1994
215,Drama|Romance,1995
216,Comedy,1995
217,Drama|Thriller,1995
218,Comedy|Drama,1995
219,Drama,1995
220,Horror,1995
222,Drama|Romance,1995
223,Comedy,1994
224,Comedy|Drama|Romance,1995
225,Drama|Thriller,1994
227,Action|Thriller,1994
228,Comedy,1995
229,Drama|Thriller,1994
230,Drama|Thriller,1995
231,Adventure|Comedy,1994
232,Comedy|Drama|Romance,1994
233,Drama,1994
234,Comedy,1994
235,Comedy|Drama,1994
236,Action|Comedy|Romance,1995
237,Comedy|Romance,1995
238,Adventure|Children,1995
239,Animation|Children|Comedy|Romance,1995
240,Thriller,1995
241,Children|Drama,1995
242,Drama|Musical,1994
243,Children|Comedy|Fantasy,1995
246,Documentary,1994
247,Crime|Drama,1994
248,Comedy,1994
249,Drama|Romance,1994
250,Children|Comedy,1995
251,Action,1995
252,Comedy|Romance,1994
253,Drama|Horror,1994
254,Drama,1995
255,Comedy,1995
256,Comedy|Sci-Fi,1994
257,Mystery|Thriller,1995
258,Adventure|Children|Comedy|Fantasy|Romance,1995
259,Crime|Drama|Thriller,1995
260,Action|Adventure|Sci-Fi,1977
261,Drama,1994
262,Children|Drama,1995
263,Drama,1994
265,Drama|Fantasy|Romance,1992
266,Drama|Romance|War|Western,1994
267,Comedy,1995
269,Drama,1993
270,Drama|Romance,1994
271,Drama,1995
272,Comedy|Drama,1994
273,Drama|Horror|Sci-Fi,1994
274,Comedy,1995
275,Comedy,1994
276,Comedy|Romance,1994
277,Drama,1994
278,Comedy,1995
279,Drama,1995
280,Drama|Thriller,1995
281,Comedy|Drama|Romance,1994
282,Drama,1994
283,Crime|Drama,1995
284,Action|Crime,1993
285,Drama|Horror,1993
287,Comedy|Romance,1994
288,Action|Crime|Thriller,1994
289,Comedy|Romance,1994
290,Crime|Drama,1994
291,Drama|Thriller,1996
292,Action|Drama|Sci-Fi|Thriller,1995
